distro,package,version,swhid
debian,gir1.2-atspi-2.0,2.22.0-6+deb9u1,swh:1:dir:c516116bcbd2898ba1e7b71602f992281489f4e4
debian,libswitch-perl,2.17-2,swh:1:dir:0b24871a1b0926fa237587c6902b34872f6e44fe
debian,libpython2.7,2.7.13-2+deb9u3,swh:1:dir:5d0dde871ed19d3a96a4137bede70a1aee6d4bd7
debian,libchm1,2:0.40a-3+b2,swh:1:dir:ae4e919e53b5921427be811ea9e409905891367e
debian,firmware-linux-nonfree,20161130-5,swh:1:dir:afbf56a5e4161611792c6c808daa7ffc488e88e9
debian,libpangomm-1.4-1,2.34.0-1.1,swh:1:dir:87253d0e321530cf323bc7a252ef799a5bbbc26b
debian,libscalar-list-utils-perl,1:1.47-1,swh:1:dir:3f6218c9e4c3e708f324dd8560fb9a0feafb1c59
debian,libminizip1,1.1-8+b1,swh:1:dir:80b2f84e6fd65b7cb3efbe22bc50512b8bdefe4d
debian,libqt4-sql,4:4.8.7+dfsg-11,swh:1:dir:96697ee08e13d2823db56f2404f25d5c31d4e2a0
ubuntu,grub-pc-bin,2.02-2ubuntu8.15,swh:1:dir:d16fad91d791e11a6e41eea6376dfce091051bdf
debian,libxcb-shm0,1.12-1,swh:1:dir:745caaf63945d5ca3afe7a3ce3583962afc1f262
ubuntu,libgvpr2,2.40.1-2,swh:1:dir:59e89b224e3ff3ac93dcd77cbd3828ae7f87ae2d
ubuntu,uidmap,1:4.5-1ubuntu2,swh:1:dir:13b22c6670e3b7808730941bec7de6595b75a4c4
ubuntu,python3-twisted,17.9.0-2ubuntu0.1,swh:1:dir:01f70be8052ec09df302650356927849e36d6df9
debian,libnfnetlink0,1.0.1-3,swh:1:dir:c6ed0e7cfcf22db8f04684e32e7927258ed0d269
debian,libiw30,30~pre9-12+b1,swh:1:dir:b85f0f778f696a06dc74138b23f05e09ae29a92d
debian,intel-gpu-tools,1.17-1,swh:1:dir:c0a7229da7531b92e073c2d781289683c308463c
debian,libpango-1.0-0,1.40.5-1,swh:1:dir:87253d0e321530cf323bc7a252ef799a5bbbc26b
debian,libdatrie1,0.2.10-4+b1,swh:1:dir:54d89da178dfe4b13b0fdc4853e9acea668ce7b7
debian,libxcb-damage0,1.12-1,swh:1:dir:745caaf63945d5ca3afe7a3ce3583962afc1f262
debian,libapt-inst2.0,1.4.10,swh:1:dir:e511fec46be8b258dff3596887adc9f6f459299c
ubuntu,gcc-7,7.5.0-3ubuntu1~18.04,swh:1:dir:1c05dc7c4afc412096a0cf418dfc5acd9e415b57
debian,python3-pyqt5,5.7+dfsg-5,swh:1:dir:2f00cc54c37b70173e611b1febfb951c5ee337ba
debian,sensible-utils,0.0.9+deb9u1,swh:1:dir:18f3e0fc94428221223eca3b1d204e2716a88b01
debian,libopts25,1:5.18.12-3,swh:1:dir:76d14df4e7426364e419a4d999f2698f9f3dcd51
ubuntu,ufw,0.36-0ubuntu0.18.04.1,swh:1:dir:8ebb3bfc5ff9f75bfd2e1b7b4e207161b43a1f14
debian,fontforge-extras,0.3-4,swh:1:dir:926390b14593a51bc26002761259416c93b9f715
debian,libxcb-shape0,1.12-1,swh:1:dir:745caaf63945d5ca3afe7a3ce3583962afc1f262
debian,ftp,0.17-34,swh:1:dir:caaaca620114219b73971a87d57a0ffa62427a38
debian,libmjpegutils-2.1-0,1:2.1.0+debian-5,swh:1:dir:b507fc49a3d8b2bf576f42f903d27e9cee477c3e
debian,libgeoip1,1.6.9-4,swh:1:dir:c69bdd845bb285b0dba239674f2be0277826c658
ubuntu,binutils-common,2.30-21ubuntu1~18.04.3,swh:1:dir:a3434e1a99f25516ab50a70a08c1d6e36ca1851d
debian,libtwolame0,0.3.13-2,swh:1:dir:36bb4e456db6b3046548870731a7049453681c84
debian,automake,1:1.15-6,swh:1:dir:80b4c298a28eec82e22030fbe7ddbb2b20339ce2
debian,vim-common,2:8.0.0197-4+deb9u3,swh:1:dir:d4b3ad519adf45ef1caf7c32356be2257c15a748
debian,libwebkit2gtk-4.0-dev,2.18.6-1~deb9u1,swh:1:dir:d3ee61862f54b35a4aed909a4ca8b2f9e238edb9
debian,libharfbuzz-dev,1.4.2-1,swh:1:dir:0cd71a8d46386d404225e160d8fd2705eb094a9f
debian,libauthen-sasl-perl,2.1600-1,swh:1:dir:cbbf36f3719fd6072017651443e27c60d1368089
debian,libreoffice6.1,6.1.0.3-3,swh:1:dir:3095b784e901836ca66e3fdb0b5f3bb666d5f018
ubuntu,tcpdump,4.9.3-0ubuntu0.18.04.1,swh:1:dir:4c6d320b7fc09169e1ef3139b526ae7362a7ce97
debian,rsyslog,8.4.2-1+deb8u2,swh:1:dir:229f2cfbe60a070aa61289378dde874447065fc0
debian,libopencv-features2d2.4v5,2.4.9.1+dfsg1-2,swh:1:dir:8c48d5da54dd6f953aefb1fffc6a27439fd296e3
ubuntu,netplan.io,0.99-0ubuntu3~18.04.3,swh:1:dir:cc67d4008958e6ab8146391b8cc4815b81462fae
ubuntu,linux-modules-5.3.0-46-generic,5.3.0-46.38~18.04.1,swh:1:dir:988b8d8164b3964a6b4da5b74e776ab82e02b32c
debian,libwebpdemux1,0.4.1-1.2+b2,swh:1:dir:cfd00e010ee97a366c2a01a6ae03bc35b3a511a2
debian,libxml-namespacesupport-perl,1.11-1,swh:1:dir:5309d136d24fef9f138a187c52fd81553bf72903
debian,libvulkan1,1.0.39.0+dfsg1-1,swh:1:dir:0f1d37079bec296ce6ef3b9c433a08e259ed05ea
ubuntu,mtr-tiny,0.92-1,swh:1:dir:b657f2abf573c18d83d21daac66b8aa91e6f40b5
debian,x11proto-kb-dev,1.0.7-1,swh:1:dir:a328ddb3d4d382c43c5508848181448625259a84
debian,libxcursor-dev,1:1.1.14-1+deb9u2,swh:1:dir:a3b4cf740a1f2eb18bfa295d5ebc4586fdaa50ce
ubuntu,curl,7.58.0-2ubuntu3.9,swh:1:dir:55ad8111024cfa98c877dbe3635d4e54b8007566
ubuntu,libpam-systemd,237-3ubuntu10.41,swh:1:dir:6197fd2ec4707e28669f803f492a781785f9d34d
ubuntu,libfcgi-perl,0.78-2build1,swh:1:dir:9ca98b03b3a5be3bb57e0b9d4987604e832ff17c
ubuntu,libdbus-1-3,1.12.2-1ubuntu1.2,swh:1:dir:fc5f4c61ecb8d21af3141b832e776e4e36f51470
debian,libsmartcols1,2.29.2-1+deb9u1,swh:1:dir:726b78b92e3809d74cd1437dd51e373607bdd8ad
debian,libdrm-dev,2.4.74-1,swh:1:dir:9f4ec9c3246435e566a6cc24a9038de5a579beda
debian,libobasis5.3-images,5.3.4.2-2,swh:1:dir:be9528c05aeb436cb268fdf6f84eb3ae72fe96af
debian,libpopt0,1.16-10+b2,swh:1:dir:71145c52a0558c5d0325ee708bae5d9a3b8e4e28
debian,nano,2.7.4-1,swh:1:dir:c7a01e9dd160dfcb8cbd46f62294f7313c378e12
debian,libfontforge2,1:20161005~dfsg-4+deb9u1,swh:1:dir:13ed4b595bf2d54d6fbcf5195778e489cbfa1da1
debian,dblatex-doc,0.3.9-3,swh:1:dir:ada3e7a9cdd1661d9befe815c7bc63697e07d814
debian,python3-urllib3,1.19.1-1,swh:1:dir:55b2fbdb3b8fd5c7829c1dd31421dc36adb2bf89
debian,libdevmapper-dev,2:1.02.137-2,swh:1:dir:7bf7e0b70ecd341d21a9e88053a11b0e8e4a09db
debian,libxcomposite-dev,1:0.4.4-2,swh:1:dir:f56d004ff1ba76d8204d1b1c33eadad8c3731fb1
debian,libc-l10n,2.24-11+deb9u4,swh:1:dir:f04db534a4b40783360cc4bd42f37e15dad37bfd
debian,readline-common,7.0-3,swh:1:dir:3095b784e901836ca66e3fdb0b5f3bb666d5f018
debian,libqt5clucene5,5.7.1-1,swh:1:dir:87968b084fbb193b29b13b35e6f0a906b3042d6d
ubuntu,python3-zope.interface,4.3.2-1build2,swh:1:dir:633d00d30c9db424f6a45eb5ecb9cb82f38f7529
debian,gcc-4.8-base,4.8.4-1,swh:1:dir:092486dd2ad6dc75d28590f63357eb64790eafb5
debian,libhunspell-1.4-0,1.4.1-2+b2,swh:1:dir:bbdb24cdac1551d7d993be29066f9f2cf7d5a7dc
debian,libjbig0,2.1-3.1+b2,swh:1:dir:a793aed92544bf10d4b165c23a4bb578eb9ee134
debian,libgles1-mesa-dev,13.0.6-1+b2,swh:1:dir:18fb39f3821d80388eb01f24efcde508a5a22a74
ubuntu,dns-root-data,2018013001,swh:1:dir:d8c8f15589b473cedc78cffbddb818b5533b1c10
debian,libavresample3,7:3.2.14-1~deb9u1,swh:1:dir:085de4bd8865a7e8540c32a9243afcc364d1c5aa
ubuntu,linux-modules-5.3.0-26-generic,5.3.0-26.28~18.04.1,swh:1:dir:988b8d8164b3964a6b4da5b74e776ab82e02b32c
debian,libavfilter6,7:3.2.14-1~deb9u1,swh:1:dir:085de4bd8865a7e8540c32a9243afcc364d1c5aa
ubuntu,sudo,1.8.21p2-3ubuntu1.2,swh:1:dir:84b2ab2a3c344f384267def18c4b80e9ac5082ac
debian,libzltext0.12,0.12.10dfsg-9.1+b1,swh:1:dir:6925d9bbc60370f4c466169c96491b0e08ff88b9
ubuntu,libc6-dev,2.27-3ubuntu1,swh:1:dir:22cb79e66f368b54b876d305c576f6b7af4b37bf
debian,libgupnp-1.0-4,1.0.1-1,swh:1:dir:267f2168cb8e328f0c453770aaba61a416f2cc66
debian,libllvm3.5,1:3.5-10,swh:1:dir:99a33a86e5dc0d2569f87774a5f0eb63d46de4e9
debian,i3lock,2.8-1,swh:1:dir:3c32d94005d6768da82844ace5b37d69152783de
ubuntu,libgeoip1,1.6.12-1,swh:1:dir:a1e0b7d6652f664b44981eb8827cd0a54f5ad785
debian,mosh,1.2.6-1+b2,swh:1:dir:2ce3cd603399f70981d58988f5ac6ef103975356
debian,equivs,2.0.9+nmu1,swh:1:dir:e0a5241b61b79ea800a17ba05704f17baed13567
debian,libselinux1-dev,2.6-3+b3,swh:1:dir:82e9ae450b493c1fadac53bd6cbfe0657b71f722
debian,libx11-dev,2:1.6.4-3+deb9u1,swh:1:dir:56f66cce36d99cd6a52ff9ff3eae47f8b1865b74
ubuntu,zlib1g,1:1.2.11.dfsg-0ubuntu2,swh:1:dir:ae17db15bf5816cd92eb77611c0d4a7bafb1b8de
debian,libqt4-designer,4:4.8.7+dfsg-11,swh:1:dir:96697ee08e13d2823db56f2404f25d5c31d4e2a0
debian,libgraphviz-dev,2.38.0-17,swh:1:dir:a1316aee79b47201079d36f6240c368a98afa19e
debian,libgd3,2.2.4-2+deb9u5,swh:1:dir:0c377301f32033085915ccc1701b3c0e7f97a0b7
debian,x11proto-gl-dev,1.4.17-1,swh:1:dir:1ce10a5ab6ae02a90048c8998214ee14be281ab3
debian,x11proto-scrnsaver-dev,1.2.2-1,swh:1:dir:0a1c3c11c9432b118b609796d4b4c261894142f4
debian,gstreamer1.0-x,1.10.4-1+deb9u1,swh:1:dir:a64ae2db408f11b82f339bd91ba7becdc78bb98a
ubuntu,openjdk-11-jre-headless,11.0.7+10-2ubuntu2~18.04,swh:1:dir:6b8c17f706b25356be117ab64d28137328fd9644
ubuntu,libavahi-common-data,0.7-3.1ubuntu1.2,swh:1:dir:c65af1251b862117281b43de11c75c928ca0acdf
debian,libxaw7,2:1.0.13-1+b2,swh:1:dir:5768247d53ee868fb3dc60d48e7897fa9ce0201b
ubuntu,hostname,3.20,swh:1:dir:c5b4e36f3c4b3d61f6e8084bcf362200f53f8021
debian,libxcb-icccm4,0.4.1-1,swh:1:dir:e3f6e50a4c9c401c70204bdfbc93384196d7b7f5
debian,xfstt,1.9.3-1,swh:1:dir:ecaa9cf643428d7621dc6a88cc931d91bfcb224b
debian,libgc-dev,1:7.4.2-8,swh:1:dir:094455ccc1962ca706502412b77d4e1d49545bba
ubuntu,linux-image-5.3.0-61-generic,5.3.0-61.55~18.04.1,swh:1:dir:52a377f1738da74986c39f67c3d7a305c80cafbe
debian,libgnutls30,3.5.8-5+deb9u4,swh:1:dir:b7ac6ca60cb5eb66219e69a6dc72b0cbaed0e43c
debian,libapt-inst1.5,1.0.9.8.4,swh:1:dir:e511fec46be8b258dff3596887adc9f6f459299c
debian,unar,1.10.1-1+b1,swh:1:dir:f5a5e8cdb4f3e2c1a9d8c240b518b39d83e1c8e9
debian,libfs-dev,2:1.0.7-1+b2,swh:1:dir:9bfaac03aaa3f41bfb7f88255376fb0cd65e1af0
debian,librsvg2-common,2.40.16-1+b1,swh:1:dir:8c5ddc6f7c5c87d5f66efcf09265a89494868458
debian,libmpcdec6,2:0.1~r495-1+b1,swh:1:dir:9ffd84c03c16b4016a40d558d3525000daba0299
ubuntu,linux-modules-5.0.0-31-generic,5.0.0-31.33~18.04.1,swh:1:dir:988b8d8164b3964a6b4da5b74e776ab82e02b32c
ubuntu,libxslt1.1,1.1.29-5ubuntu0.2,swh:1:dir:4cf278170682f558697b05a1129bad3dd6b4c582
ubuntu,libxi6,2:1.7.9-1,swh:1:dir:3be8667ca048799b3fd20de339584809089cafb7
ubuntu,python3-httplib2,0.9.2+dfsg-1ubuntu0.1,swh:1:dir:92754a887e867948254fe127ce3c75359c3014b8
debian,libatomic1,6.3.0-18+deb9u1,swh:1:dir:b10b6bb8450fef0f8f623c9086fc12494b8b9f42
